Calendar Year,Payer,Method of Delivery,Grouper,Birth Characteristic, Number of Births 
2015,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,28870
2015,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,608
2015,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,833
2015,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,5795
2015,Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,4478
2015,Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,11949
2015,Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,49059
2015,Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,47370
2015,Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,31351
2015,Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,18168
2015,Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,0
2015,Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,10938
2015,Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,57692
2015,Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,43313
2015,Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,43877
2015,Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,6555
2015,Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,64096
2015,Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,98182
2015,Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,97
2015,Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,10032
2015,Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,674
2015,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,10817
2015,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,727
2015,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,108870
2015,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,2549
2015,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,3747
2015,Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,24959
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,1
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,37
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,541
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,938
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,863
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,565
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,0
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,232
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,879
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Less Than High School,956
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Some College or Associate's Degree,748
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Unknown Education,130
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Foreign-Born,1483
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,U.S.-Born,1457
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Unknown Nativity,5
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,African-American,223
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,American Indian/Alaska Native,10
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Asian,226
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,22
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,1938
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,49
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,72
2015,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,405
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,166
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,409
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,3354
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,10076
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,16743
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,14904
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,0
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,25470
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,5463
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,1033
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,11137
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,2549
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,16573
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,29052
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,27
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,1693
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,99
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,10567
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,161
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,12291
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,1696
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,1494
2015,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,17651
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,5
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,34
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,957
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,5147
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,12549
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,14033
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,0
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,16614
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,4558
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,1222
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,8739
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1592
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,13083
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,U.S.-Born,19622
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,Unknown Nativity,20
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,African-American,1051
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,American Indian/Alaska Native,73
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Asian,7680
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,104
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,10230
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,963
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,878
2015,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,11746
2015,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,920
2015,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,1974
2015,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,14988
2015,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,39771
2015,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,59877
2015,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,38270
2015,Non-Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,3
2015,Non-Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,82319
2015,Non-Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,22018
2015,Non-Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,5003
2015,Non-Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,38861
2015,Non-Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,7602
2015,Non-Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,52398
2015,Non-Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,103301
2015,Non-Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,104
2015,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,4063
2015,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,370
2015,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,33830
2015,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,495
2015,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,44659
2015,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,4741
2015,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,5085
2015,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,62560
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,0
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,0
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,115
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,536
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,1323
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,1127
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,0
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,1774
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,362
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Less Than High School,96
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Some College or Associate's Degree,720
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Unknown Education,149
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Foreign-Born,1059
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,U.S.-Born,2037
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Unknown Nativity,5
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,African-American,99
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,American Indian/Alaska Native,9
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Asian,597
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,23
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,809
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,98
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,102
2015,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,1364
2016,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,736
2016,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,2225
2016,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,9857
2016,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,9935
2016,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,7398
2016,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,5802
2016,Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,0
2016,Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,3383
2016,Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,12471
2016,Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,7450
2016,Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,11034
2016,Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,1615
2016,Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,13273
2016,Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,22654
2016,Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,26
2016,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,2937
2016,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,124
2016,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,2521
2016,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,184
2016,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,22006
2016,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,841
2016,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,1066
2016,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,6274
2016,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,41
2016,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,406
2016,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,6489
2016,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,13104
2016,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,12219
2016,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,9321
2016,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,0
2016,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,2771
2016,Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,13985
2016,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,11842
2016,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,11028
2016,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1954
2016,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,18706
2016,Medi-Cal,Cesarean-Repeat,Maternal Nativity,U.S.-Born,22849
2016,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Unknown Nativity,25
2016,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,African-American,3112
2016,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,American Indian/Alaska Native,165
2016,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Asian,2303
2016,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,165
2016,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,28184
2016,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,849
2016,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,883
2016,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,5919
2016,Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,3935
2016,Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,10587
2016,Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,47398
2016,Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,49101
2016,Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,32248
2016,Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,19504
2016,Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,0
2016,Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,12188
2016,Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,58092
2016,Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,39896
2016,Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,45083
2016,Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,7514
2016,Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,63051
2016,Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,99622
2016,Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,100
2016,Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,10083
2016,Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,646
2016,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,11212
2016,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,676
2016,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,107879
2016,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,3387
2016,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,3981
2016,Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,24909
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,5
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,53
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,595
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,1043
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,929
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,671
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,0
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,299
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,1026
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Less Than High School,963
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Some College or Associate's Degree,848
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Unknown Education,160
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Foreign-Born,1688
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,U.S.-Born,1606
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Unknown Nativity,2
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,African-American,270
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,American Indian/Alaska Native,8
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Asian,276
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,26
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,2133
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,56
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,76
2016,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,451
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,145
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,361
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,3091
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,9831
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,16876
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,14778
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,0
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,25541
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,5021
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,980
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,10811
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,2729
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,16801
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,28248
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,33
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,1693
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,87
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,10997
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,136
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,11838
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,2065
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,1501
2016,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,16765
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,7
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,41
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,843
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,4751
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,12438
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,13885
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,2
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,16384
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,4141
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,1177
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,8415
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1850
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,13095
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,U.S.-Born,18856
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,Unknown Nativity,16
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,African-American,1095
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,American Indian/Alaska Native,79
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Asian,7855
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,89
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,9659
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,1304
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,818
2016,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,11068
2016,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,854
2016,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,1898
2016,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,13907
2016,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,39337
2016,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,60606
2016,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,39136
2016,Non-Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,13
2016,Non-Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,84126
2016,Non-Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,20424
2016,Non-Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,4716
2016,Non-Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,38009
2016,Non-Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,8476
2016,Non-Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,53764
2016,Non-Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,101846
2016,Non-Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,141
2016,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,3964
2016,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,336
2016,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,35194
2016,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,446
2016,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,43328
2016,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,6032
2016,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,5260
2016,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,61191
2016,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,1
2016,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,0
2016,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,101
2016,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,602
2016,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,1331
2016,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,1211
2016,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,0
2016,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,1823
2016,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,352
