Calendar Year,Grouper,Birth Characteristic,Geographic Region, Number of Births , Annotation Code , Annotation Description 
2015,Aid Category,Families,Bay Area,13840,,
2015,Aid Category,Medically Indigent Child & Minor Consent,Bay Area,96,,
2015,Aid Category,Other,Bay Area,803,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),Bay Area,3393,,
2015,Aid Category,Undocumented,Bay Area,7669,,
2015,Maternal Age Group,Ages 17 and Younger,Bay Area,463,,
2015,Maternal Age Group,Ages 18-19,Bay Area,1382,,
2015,Maternal Age Group,Ages 20-24,Bay Area,6533,,
2015,Maternal Age Group,Ages 25-29,Bay Area,8415,,
2015,Maternal Age Group,Ages 30-34,Bay Area,6916,,
2015,Maternal Age Group,Ages 35 and Older,Bay Area,4592,,
2015,Maternal Race/Ethnicity,African-American,Bay Area,2699,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,Bay Area,82,,
2015,Maternal Race/Ethnicity,Asian,Bay Area,3907,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Bay Area,344,,
2015,Maternal Race/Ethnicity,Hispanic,Bay Area,15723,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,Bay Area,841,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,Bay Area,935,,
2015,Maternal Race/Ethnicity,White,Bay Area,3770,,
2015,Aid Category,ACA Expansion Adult Age 19 to 64,Central Coast,877,,
2015,Aid Category,Blind and Persons with Disabilities,Central Coast,108,,
2015,Aid Category,Families,Central Coast,6457,,
2015,Aid Category,Medically Indigent Child & Minor Consent,Central Coast,87,,
2015,Aid Category,Other,Central Coast,364,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),Central Coast,1735,,
2015,Aid Category,Undocumented,Central Coast,5497,,
2015,Maternal Age Group,Ages 17 and Younger,Central Coast,335,,
2015,Maternal Age Group,Ages 18-19,Central Coast,945,,
2015,Maternal Age Group,Ages 20-24,Central Coast,4163,,
2015,Maternal Age Group,Ages 25-29,Central Coast,4252,,
2015,Maternal Age Group,Ages 30-34,Central Coast,3252,,
2015,Maternal Age Group,Ages 35 and Older,Central Coast,2178,,
2015,Maternal Race/Ethnicity,African-American,Central Coast,119,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,Central Coast,19,,
2015,Maternal Race/Ethnicity,Asian,Central Coast,295,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Coast,12,,
2015,Maternal Race/Ethnicity,Hispanic,Central Coast,12413,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,Central Coast,80,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,Central Coast,219,,
2015,Maternal Race/Ethnicity,White,Central Coast,1968,,
2015,Aid Category,ACA Expansion Adult Age 19 to 64,Central Valley,3111,,
2015,Aid Category,Blind and Persons with Disabilities,Central Valley,709,,
2015,Aid Category,Families,Central Valley,27337,,
2015,Aid Category,Medically Indigent Child & Minor Consent,Central Valley,95,,
2015,Aid Category,Other,Central Valley,1520,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),Central Valley,3444,,
2015,Aid Category,Undocumented,Central Valley,7159,,
2015,Maternal Age Group,Ages 17 and Younger,Central Valley,1269,,
2015,Maternal Age Group,Ages 18-19,Central Valley,3093,,
2015,Maternal Age Group,Ages 20-24,Central Valley,12999,,
2015,Maternal Age Group,Ages 25-29,Central Valley,12868,,
2015,Maternal Age Group,Ages 30-34,Central Valley,8274,,
2015,Maternal Age Group,Ages 35 and Older,Central Valley,4872,,
2015,Maternal Race/Ethnicity,African-American,Central Valley,2093,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,Central Valley,192,,
2015,Maternal Race/Ethnicity,Asian,Central Valley,2827,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Valley,81,,
2015,Maternal Race/Ethnicity,Hispanic,Central Valley,30250,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,Central Valley,235,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,Central Valley,822,,
2015,Maternal Race/Ethnicity,White,Central Valley,6875,,
2015,Aid Category,ACA Expansion Adult Age 19 to 64,Far North,179,,
2015,Aid Category,Blind and Persons with Disabilities,Far North,,2,Cell suppressed for complementary cell
2015,Aid Category,Blind and Persons with Disabilities,Far North,0,,
2015,Aid Category,Families,Far North,1101,,
2015,Aid Category,Medically Indigent Child & Minor Consent,Far North,,1,Cell suppressed for small numbers
2015,Aid Category,Medically Indigent Child & Minor Consent,Far North,0,,
2015,Aid Category,Other,Far North,53,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),Far North,168,,
2015,Aid Category,Undocumented,Far North,37,,
2015,Maternal Age Group,Ages 17 and Younger,Far North,28,,
2015,Maternal Age Group,Ages 18-19,Far North,110,,
2015,Maternal Age Group,Ages 20-24,Far North,498,,
2015,Maternal Age Group,Ages 25-29,Far North,511,,
2015,Maternal Age Group,Ages 30-34,Far North,300,,
2015,Maternal Age Group,Ages 35 and Older,Far North,154,,
2015,Maternal Race/Ethnicity,African-American,Far North,20,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,Far North,74,,
2015,Maternal Race/Ethnicity,Asian,Far North,57,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Far North,,1,Cell suppressed for small numbers
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Far North,0,,
2015,Maternal Race/Ethnicity,Hispanic,Far North,212,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,Far North,,2,Cell suppressed for complementary cell
2015,Maternal Race/Ethnicity,Other/Unknown Race,Far North,0,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,Far North,74,,
2015,Maternal Race/Ethnicity,White,Far North,1145,,
2015,Aid Category,ACA Expansion Adult Age 19 to 64,Invalid Code,0,,
2015,Aid Category,Blind and Persons with Disabilities,Invalid Code,0,,
2015,Aid Category,Families,Invalid Code,0,,
2015,Aid Category,Medically Indigent Child & Minor Consent,Invalid Code,0,,
2015,Aid Category,Other,Invalid Code,0,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),Invalid Code,0,,
2015,Aid Category,Undocumented,Invalid Code,0,,
2015,Maternal Age Group,Ages 17 and Younger,Invalid Code,0,,
2015,Maternal Age Group,Ages 18-19,Invalid Code,0,,
2015,Maternal Age Group,Ages 20-24,Invalid Code,0,,
2015,Maternal Age Group,Ages 25-29,Invalid Code,0,,
2015,Maternal Age Group,Ages 30-34,Invalid Code,0,,
2015,Maternal Age Group,Ages 35 and Older,Invalid Code,0,,
2015,Maternal Race/Ethnicity,African-American,Invalid Code,0,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,Invalid Code,0,,
2015,Maternal Race/Ethnicity,Asian,Invalid Code,0,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Invalid Code,0,,
2015,Maternal Race/Ethnicity,Hispanic,Invalid Code,0,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,Invalid Code,0,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,Invalid Code,0,,
2015,Maternal Race/Ethnicity,White,Invalid Code,0,,
2015,Aid Category,ACA Expansion Adult Age 19 to 64,Los Angeles,8128,,
2015,Aid Category,Blind and Persons with Disabilities,Los Angeles,897,,
2015,Aid Category,Families,Los Angeles,30807,,
2015,Aid Category,Medically Indigent Child & Minor Consent,Los Angeles,238,,
2015,Aid Category,Other,Los Angeles,1706,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),Los Angeles,5475,,
2015,Aid Category,Undocumented,Los Angeles,18567,,
2015,Maternal Age Group,Ages 17 and Younger,Los Angeles,1433,,
2015,Maternal Age Group,Ages 18-19,Los Angeles,3772,,
2015,Maternal Age Group,Ages 20-24,Los Angeles,17503,,
2015,Maternal Age Group,Ages 25-29,Los Angeles,18794,,
2015,Maternal Age Group,Ages 30-34,Los Angeles,14393,,
2015,Maternal Age Group,Ages 35 and Older,Los Angeles,9923,,
2015,Maternal Race/Ethnicity,African-American,Los Angeles,5858,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,Los Angeles,100,,
2015,Maternal Race/Ethnicity,Asian,Los Angeles,3587,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Los Angeles,181,,
2015,Maternal Race/Ethnicity,Hispanic,Los Angeles,49610,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,Los Angeles,472,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,Los Angeles,905,,
2015,Maternal Race/Ethnicity,White,Los Angeles,5105,,
2015,Aid Category,ACA Expansion Adult Age 19 to 64,North Coast,228,,
2015,Aid Category,Blind and Persons with Disabilities,North Coast,,2,Cell suppressed for complementary cell
2015,Aid Category,Blind and Persons with Disabilities,North Coast,0,,
2015,Aid Category,Families,North Coast,1511,,
2015,Aid Category,Medically Indigent Child & Minor Consent,North Coast,,1,Cell suppressed for small numbers
2015,Aid Category,Medically Indigent Child & Minor Consent,North Coast,0,,
2015,Aid Category,Other,North Coast,70,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),North Coast,250,,
2015,Aid Category,Undocumented,North Coast,222,,
2015,Maternal Age Group,Ages 17 and Younger,North Coast,40,,
2015,Maternal Age Group,Ages 18-19,North Coast,145,,
2015,Maternal Age Group,Ages 20-24,North Coast,655,,
2015,Maternal Age Group,Ages 25-29,North Coast,744,,
2015,Maternal Age Group,Ages 30-34,North Coast,485,,
2015,Maternal Age Group,Ages 35 and Older,North Coast,280,,
2015,Maternal Race/Ethnicity,African-American,North Coast,24,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,North Coast,179,,
2015,Maternal Race/Ethnicity,Asian,North Coast,61,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,North Coast,,1,Cell suppressed for small numbers
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,North Coast,0,,
2015,Maternal Race/Ethnicity,Hispanic,North Coast,684,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,North Coast,,2,Cell suppressed for complementary cell
2015,Maternal Race/Ethnicity,Other/Unknown Race,North Coast,0,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,North Coast,131,,
2015,Maternal Race/Ethnicity,White,North Coast,1244,,
2015,Aid Category,ACA Expansion Adult Age 19 to 64,Sacramento Valley,1232,,
2015,Aid Category,Blind and Persons with Disabilities,Sacramento Valley,438,,
2015,Aid Category,Families,Sacramento Valley,9788,,
2015,Aid Category,Medically Indigent Child & Minor Consent,Sacramento Valley,32,,
2015,Aid Category,Other,Sacramento Valley,450,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),Sacramento Valley,1824,,
2015,Aid Category,Undocumented,Sacramento Valley,1726,,
2015,Maternal Age Group,Ages 17 and Younger,Sacramento Valley,290,,
2015,Maternal Age Group,Ages 18-19,Sacramento Valley,953,,
2015,Maternal Age Group,Ages 20-24,Sacramento Valley,4444,,
2015,Maternal Age Group,Ages 25-29,Sacramento Valley,4794,,
2015,Maternal Age Group,Ages 30-34,Sacramento Valley,3263,,
2015,Maternal Age Group,Ages 35 and Older,Sacramento Valley,1746,,
2015,Maternal Race/Ethnicity,African-American,Sacramento Valley,1568,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,Sacramento Valley,110,,
2015,Maternal Race/Ethnicity,Asian,Sacramento Valley,1833,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sacramento Valley,176,,
2015,Maternal Race/Ethnicity,Hispanic,Sacramento Valley,5742,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,Sacramento Valley,216,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,Sacramento Valley,830,,
2015,Maternal Race/Ethnicity,White,Sacramento Valley,5015,,
2015,Aid Category,ACA Expansion Adult Age 19 to 64,Sierra Range/Foothills,432,,
2015,Aid Category,Blind and Persons with Disabilities,Sierra Range/Foothills,,2,Cell suppressed for complementary cell
2015,Aid Category,Blind and Persons with Disabilities,Sierra Range/Foothills,0,,
2015,Aid Category,Families,Sierra Range/Foothills,1937,,
2015,Aid Category,Medically Indigent Child & Minor Consent,Sierra Range/Foothills,,1,Cell suppressed for small numbers
2015,Aid Category,Medically Indigent Child & Minor Consent,Sierra Range/Foothills,0,,
2015,Aid Category,Other,Sierra Range/Foothills,105,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),Sierra Range/Foothills,508,,
2015,Aid Category,Undocumented,Sierra Range/Foothills,258,,
2015,Maternal Age Group,Ages 17 and Younger,Sierra Range/Foothills,47,,
2015,Maternal Age Group,Ages 18-19,Sierra Range/Foothills,189,,
2015,Maternal Age Group,Ages 20-24,Sierra Range/Foothills,918,,
2015,Maternal Age Group,Ages 25-29,Sierra Range/Foothills,984,,
2015,Maternal Age Group,Ages 30-34,Sierra Range/Foothills,753,,
2015,Maternal Age Group,Ages 35 and Older,Sierra Range/Foothills,416,,
2015,Maternal Race/Ethnicity,African-American,Sierra Range/Foothills,29,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,Sierra Range/Foothills,70,,
2015,Maternal Race/Ethnicity,Asian,Sierra Range/Foothills,94,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sierra Range/Foothills,16,,
2015,Maternal Race/Ethnicity,Hispanic,Sierra Range/Foothills,856,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,Sierra Range/Foothills,27,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,Sierra Range/Foothills,158,,
2015,Maternal Race/Ethnicity,White,Sierra Range/Foothills,2057,,
2015,Aid Category,ACA Expansion Adult Age 19 to 64,Southern California,6091,,
2015,Aid Category,Blind and Persons with Disabilities,Southern California,773,,
2015,Aid Category,Families,Southern California,38269,,
2015,Aid Category,Medically Indigent Child & Minor Consent,Southern California,308,,
2015,Aid Category,Other,Southern California,2288,,
2015,Aid Category,Pregnancy Pathway (Not Undocumented),Southern California,7807,,
2015,Aid Category,Undocumented,Southern California,12658,,
2015,Maternal Age Group,Ages 17 and Younger,Southern California,1528,,
2015,Maternal Age Group,Ages 18-19,Southern California,4410,,
2015,Maternal Age Group,Ages 20-24,Southern California,19526,,
2015,Maternal Age Group,Ages 25-29,Southern California,20055,,
2015,Maternal Age Group,Ages 30-34,Southern California,13907,,
2015,Maternal Age Group,Ages 35 and Older,Southern California,8768,,
2015,Maternal Race/Ethnicity,African-American,Southern California,4000,,
2015,Maternal Race/Ethnicity,American Indian/Alaska Native,Southern California,189,,
2015,Maternal Race/Ethnicity,Asian,Southern California,2944,,
2015,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Southern California,272,,
2015,Maternal Race/Ethnicity,Hispanic,Southern California,47071,,
2015,Maternal Race/Ethnicity,Other/Unknown Race,Southern California,1893,,
2015,Maternal Race/Ethnicity,Two or More Race Categories,Southern California,1439,,
2015,Maternal Race/Ethnicity,White,Southern California,10386,,
2016,Aid Category,ACA Expansion Adult Age 19 to 64,Bay Area,2722,,
2016,Aid Category,Blind and Persons with Disabilities,Bay Area,423,,
2016,Aid Category,Families,Bay Area,13522,,
2016,Aid Category,Medically Indigent Child & Minor Consent,Bay Area,49,,
2016,Aid Category,Other,Bay Area,866,,
2016,Aid Category,Pregnancy Pathway (Not Undocumented),Bay Area,3137,,
2016,Aid Category,Undocumented,Bay Area,7343,,
2016,Maternal Age Group,Ages 17 and Younger,Bay Area,405,,
2016,Maternal Age Group,Ages 18-19,Bay Area,1186,,
2016,Maternal Age Group,Ages 20-24,Bay Area,6073,,
2016,Maternal Age Group,Ages 25-29,Bay Area,8380,,
2016,Maternal Age Group,Ages 30-34,Bay Area,6902,,
2016,Maternal Age Group,Ages 35 and Older,Bay Area,5116,,
2016,Maternal Race/Ethnicity,African-American,Bay Area,2661,,
2016,Maternal Race/Ethnicity,American Indian/Alaska Native,Bay Area,65,,
2016,Maternal Race/Ethnicity,Asian,Bay Area,4003,,
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Bay Area,305,,
2016,Maternal Race/Ethnicity,Hispanic,Bay Area,15391,,
2016,Maternal Race/Ethnicity,Other/Unknown Race,Bay Area,953,,
2016,Maternal Race/Ethnicity,Two or More Race Categories,Bay Area,902,,
2016,Maternal Race/Ethnicity,White,Bay Area,3782,,
2016,Aid Category,ACA Expansion Adult Age 19 to 64,Central Coast,988,,
2016,Aid Category,Blind and Persons with Disabilities,Central Coast,97,,
2016,Aid Category,Families,Central Coast,6313,,
2016,Aid Category,Medically Indigent Child & Minor Consent,Central Coast,33,,
2016,Aid Category,Other,Central Coast,453,,
2016,Aid Category,Pregnancy Pathway (Not Undocumented),Central Coast,1608,,
2016,Aid Category,Undocumented,Central Coast,4979,,
2016,Maternal Age Group,Ages 17 and Younger,Central Coast,281,,
2016,Maternal Age Group,Ages 18-19,Central Coast,734,,
2016,Maternal Age Group,Ages 20-24,Central Coast,3727,,
2016,Maternal Age Group,Ages 25-29,Central Coast,4222,,
2016,Maternal Age Group,Ages 30-34,Central Coast,3238,,
2016,Maternal Age Group,Ages 35 and Older,Central Coast,2269,,
2016,Maternal Race/Ethnicity,African-American,Central Coast,101,,
2016,Maternal Race/Ethnicity,American Indian/Alaska Native,Central Coast,27,,
2016,Maternal Race/Ethnicity,Asian,Central Coast,256,,
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Coast,17,,
2016,Maternal Race/Ethnicity,Hispanic,Central Coast,11669,,
2016,Maternal Race/Ethnicity,Other/Unknown Race,Central Coast,282,,
2016,Maternal Race/Ethnicity,Two or More Race Categories,Central Coast,234,,
2016,Maternal Race/Ethnicity,White,Central Coast,1885,,
2016,Aid Category,ACA Expansion Adult Age 19 to 64,Central Valley,3522,,
2016,Aid Category,Blind and Persons with Disabilities,Central Valley,638,,
2016,Aid Category,Families,Central Valley,27783,,
2016,Aid Category,Medically Indigent Child & Minor Consent,Central Valley,41,,
2016,Aid Category,Other,Central Valley,1757,,
2016,Aid Category,Pregnancy Pathway (Not Undocumented),Central Valley,3683,,
2016,Aid Category,Undocumented,Central Valley,6058,,
2016,Maternal Age Group,Ages 17 and Younger,Central Valley,1109,,
2016,Maternal Age Group,Ages 18-19,Central Valley,3005,,
2016,Maternal Age Group,Ages 20-24,Central Valley,12738,,
2016,Maternal Age Group,Ages 25-29,Central Valley,13048,,
2016,Maternal Age Group,Ages 30-34,Central Valley,8571,,
2016,Maternal Age Group,Ages 35 and Older,Central Valley,5011,,
2016,Maternal Race/Ethnicity,African-American,Central Valley,2098,,
2016,Maternal Race/Ethnicity,American Indian/Alaska Native,Central Valley,196,,
2016,Maternal Race/Ethnicity,Asian,Central Valley,2831,,
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Valley,81,,
2016,Maternal Race/Ethnicity,Hispanic,Central Valley,30257,,
2016,Maternal Race/Ethnicity,Other/Unknown Race,Central Valley,337,,
2016,Maternal Race/Ethnicity,Two or More Race Categories,Central Valley,920,,
2016,Maternal Race/Ethnicity,White,Central Valley,6762,,
2016,Aid Category,ACA Expansion Adult Age 19 to 64,Far North,136,,
2016,Aid Category,Blind and Persons with Disabilities,Far North,,2,Cell suppressed for complementary cell
2016,Aid Category,Blind and Persons with Disabilities,Far North,0,,
2016,Aid Category,Families,Far North,1066,,
2016,Aid Category,Medically Indigent Child & Minor Consent,Far North,,1,Cell suppressed for small numbers
2016,Aid Category,Medically Indigent Child & Minor Consent,Far North,0,,
2016,Aid Category,Other,Far North,49,,
2016,Aid Category,Pregnancy Pathway (Not Undocumented),Far North,235,,
2016,Aid Category,Undocumented,Far North,34,,
2016,Maternal Age Group,Ages 17 and Younger,Far North,26,,
2016,Maternal Age Group,Ages 18-19,Far North,96,,
2016,Maternal Age Group,Ages 20-24,Far North,491,,
2016,Maternal Age Group,Ages 25-29,Far North,510,,
2016,Maternal Age Group,Ages 30-34,Far North,306,,
2016,Maternal Age Group,Ages 35 and Older,Far North,160,,
2016,Maternal Race/Ethnicity,African-American,Far North,17,,
2016,Maternal Race/Ethnicity,American Indian/Alaska Native,Far North,63,,
2016,Maternal Race/Ethnicity,Asian,Far North,62,,
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Far North,,1,Cell suppressed for small numbers
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Far North,0,,
2016,Maternal Race/Ethnicity,Hispanic,Far North,204,,
2016,Maternal Race/Ethnicity,Other/Unknown Race,Far North,,2,Cell suppressed for complementary cell
2016,Maternal Race/Ethnicity,Other/Unknown Race,Far North,0,,
2016,Maternal Race/Ethnicity,Two or More Race Categories,Far North,106,,
2016,Maternal Race/Ethnicity,White,Far North,1120,,
2016,Aid Category,Blind and Persons with Disabilities,Invalid Code,0,,
2016,Aid Category,Blind and Persons with Disabilities,Invalid Code,0,,
2016,Aid Category,Families,Invalid Code,0,,
2016,Aid Category,Medically Indigent Child & Minor Consent,Invalid Code,0,,
2016,Aid Category,Other,Invalid Code,0,,
2016,Aid Category,Pregnancy Pathway (Not Undocumented),Invalid Code,0,,
2016,Aid Category,Undocumented,Invalid Code,0,,
2016,Maternal Age Group,Ages 17 and Younger,Invalid Code,0,,
2016,Maternal Age Group,Ages 18-19,Invalid Code,0,,
2016,Maternal Age Group,Ages 20-24,Invalid Code,0,,
2016,Maternal Age Group,Ages 25-29,Invalid Code,0,,
2016,Maternal Age Group,Ages 30-34,Invalid Code,0,,
2016,Maternal Age Group,Ages 35 and Older,Invalid Code,0,,
2016,Maternal Race/Ethnicity,African-American,Invalid Code,0,,
2016,Maternal Race/Ethnicity,American Indian/Alaska Native,Invalid Code,0,,
2016,Maternal Race/Ethnicity,Asian,Invalid Code,0,,
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Invalid Code,0,,
2016,Maternal Race/Ethnicity,Hispanic,Invalid Code,0,,
2016,Maternal Race/Ethnicity,Other/Unknown Race,Invalid Code,0,,
2016,Maternal Race/Ethnicity,Two or More Race Categories,Invalid Code,0,,
2016,Maternal Race/Ethnicity,White,Invalid Code,0,,
2016,Aid Category,ACA Expansion Adult Age 19 to 64,Los Angeles,8613,,
2016,Aid Category,Blind and Persons with Disabilities,Los Angeles,793,,
2016,Aid Category,Families,Los Angeles,31724,,
2016,Aid Category,Medically Indigent Child & Minor Consent,Los Angeles,136,,
2016,Aid Category,Other,Los Angeles,2038,,
2016,Aid Category,Pregnancy Pathway (Not Undocumented),Los Angeles,6212,,
2016,Aid Category,Undocumented,Los Angeles,17036,,
2016,Maternal Age Group,Ages 17 and Younger,Los Angeles,1310,,
2016,Maternal Age Group,Ages 18-19,Los Angeles,3391,,
2016,Maternal Age Group,Ages 20-24,Los Angeles,16655,,
2016,Maternal Age Group,Ages 25-29,Los Angeles,19642,,
2016,Maternal Age Group,Ages 30-34,Los Angeles,14855,,
2016,Maternal Age Group,Ages 35 and Older,Los Angeles,10699,,
2016,Maternal Race/Ethnicity,African-American,Los Angeles,5951,,
2016,Maternal Race/Ethnicity,American Indian/Alaska Native,Los Angeles,83,,
2016,Maternal Race/Ethnicity,Asian,Los Angeles,4125,,
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Los Angeles,170,,
2016,Maternal Race/Ethnicity,Hispanic,Los Angeles,49136,,
2016,Maternal Race/Ethnicity,Other/Unknown Race,Los Angeles,635,,
2016,Maternal Race/Ethnicity,Two or More Race Categories,Los Angeles,969,,
2016,Maternal Race/Ethnicity,White,Los Angeles,5483,,
2016,Aid Category,ACA Expansion Adult Age 19 to 64,North Coast,244,,
2016,Aid Category,Blind and Persons with Disabilities,North Coast,,2,Cell suppressed for complementary cell
2016,Aid Category,Blind and Persons with Disabilities,North Coast,0,,
2016,Aid Category,Families,North Coast,1492,,
2016,Aid Category,Medically Indigent Child & Minor Consent,North Coast,,1,Cell suppressed for small numbers
2016,Aid Category,Medically Indigent Child & Minor Consent,North Coast,0,,
2016,Aid Category,Other,North Coast,76,,
2016,Aid Category,Pregnancy Pathway (Not Undocumented),North Coast,294,,
2016,Aid Category,Undocumented,North Coast,219,,
2016,Maternal Age Group,Ages 17 and Younger,North Coast,39,,
2016,Maternal Age Group,Ages 18-19,North Coast,123,,
2016,Maternal Age Group,Ages 20-24,North Coast,639,,
2016,Maternal Age Group,Ages 25-29,North Coast,747,,
2016,Maternal Age Group,Ages 30-34,North Coast,526,,
2016,Maternal Age Group,Ages 35 and Older,North Coast,316,,
2016,Maternal Race/Ethnicity,African-American,North Coast,26,,
2016,Maternal Race/Ethnicity,American Indian/Alaska Native,North Coast,191,,
2016,Maternal Race/Ethnicity,Asian,North Coast,71,,
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,North Coast,,1,Cell suppressed for small numbers
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,North Coast,0,,
2016,Maternal Race/Ethnicity,Hispanic,North Coast,691,,
2016,Maternal Race/Ethnicity,Other/Unknown Race,North Coast,,2,Cell suppressed for complementary cell
2016,Maternal Race/Ethnicity,Other/Unknown Race,North Coast,0,,
2016,Maternal Race/Ethnicity,Two or More Race Categories,North Coast,143,,
2016,Maternal Race/Ethnicity,White,North Coast,1230,,
2016,Aid Category,ACA Expansion Adult Age 19 to 64,Sacramento Valley,1587,,
2016,Aid Category,Blind and Persons with Disabilities,Sacramento Valley,396,,
2016,Aid Category,Families,Sacramento Valley,9980,,
2016,Aid Category,Medically Indigent Child & Minor Consent,Sacramento Valley,14,,
2016,Aid Category,Other,Sacramento Valley,438,,
2016,Aid Category,Pregnancy Pathway (Not Undocumented),Sacramento Valley,1881,,
2016,Aid Category,Undocumented,Sacramento Valley,1573,,
2016,Maternal Age Group,Ages 17 and Younger,Sacramento Valley,222,,
2016,Maternal Age Group,Ages 18-19,Sacramento Valley,820,,
2016,Maternal Age Group,Ages 20-24,Sacramento Valley,4343,,
2016,Maternal Age Group,Ages 25-29,Sacramento Valley,5122,,
2016,Maternal Age Group,Ages 30-34,Sacramento Valley,3421,,
2016,Maternal Age Group,Ages 35 and Older,Sacramento Valley,1941,,
2016,Maternal Race/Ethnicity,African-American,Sacramento Valley,1509,,
2016,Maternal Race/Ethnicity,American Indian/Alaska Native,Sacramento Valley,90,,
2016,Maternal Race/Ethnicity,Asian,Sacramento Valley,1896,,
2016,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sacramento Valley,207,,
2016,Maternal Race/Ethnicity,Hispanic,Sacramento Valley,5627,,
2016,Maternal Race/Ethnicity,Other/Unknown Race,Sacramento Valley,389,,
2016,Maternal Race/Ethnicity,Two or More Race Categories,Sacramento Valley,967,,
2016,Maternal Race/Ethnicity,White,Sacramento Valley,5184,,
2016,Aid Category,ACA Expansion Adult Age 19 to 64,Sierra Range/Foothills,402,,
2016,Aid Category,Blind and Persons with Disabilities,Sierra Range/Foothills,,2,Cell suppressed for complementary cell
2016,Aid Category,Blind and Persons with Disabilities,Sierra Range/Foothills,0,,
2016,Aid Category,Families,Sierra Range/Foothills,1891,,
2016,Aid Category,Medically Indigent Child & Minor Consent,Sierra Range/Foothills,,1,Cell suppressed for small numbers
2016,Aid Category,Medically Indigent Child & Minor Consent,Sierra Range/Foothills,0,,
2016,Aid Category,Other,Sierra Range/Foothills,115,,
2016,Aid Category,Pregnancy Pathway (Not Undocumented),Sierra Range/Foothills,543,,
2016,Aid Category,Undocumented,Sierra Range/Foothills,273,,
2016,Maternal Age Group,Ages 17 and Younger,Sierra Range/Foothills,46,,
2016,Maternal Age Group,Ages 18-19,Sierra Range/Foothills,164,,
2016,Maternal Age Group,Ages 20-24,Sierra Range/Foothills,853,,
2016,Maternal Age Group,Ages 25-29,Sierra Range/Foothills,1066,,
2016,Maternal Age Group,Ages 30-34,Sierra Range/Foothills,733,,
2016,Maternal Age Group,Ages 35 and Older,Sierra Range/Foothills,419,,
